Tarih;Saat;Tüketim Miktarı(MWh)
30.10.2023;00:00;29.051,28
30.10.2023;01:00;27.868,07
30.10.2023;02:00;27.073,08
30.10.2023;03:00;26.606,03
30.10.2023;04:00;26.483,97
30.10.2023;05:00;26.913,66
30.10.2023;06:00;27.794,04
30.10.2023;07:00;29.480,73
30.10.2023;08:00;34.762,67
30.10.2023;09:00;37.520,28
30.10.2023;10:00;38.688,90
30.10.2023;11:00;39.249,03
30.10.2023;12:00;37.908,09
30.10.2023;13:00;38.674,61
30.10.2023;14:00;39.806,29
30.10.2023;15:00;39.818,82
30.10.2023;16:00;40.072,81
30.10.2023;17:00;40.582,11
30.10.2023;18:00;40.707,81
30.10.2023;19:00;39.416,13
30.10.2023;20:00;38.244,69
30.10.2023;21:00;37.186,65
30.10.2023;22:00;35.996,22
30.10.2023;23:00;34.210,32
31.10.2023;00:00;32.210,46
31.10.2023;01:00;30.979,04
31.10.2023;02:00;30.030,58
31.10.2023;03:00;29.458,53
31.10.2023;04:00;29.227,47
31.10.2023;05:00;29.444,34
31.10.2023;06:00;30.533,74
31.10.2023;07:00;32.295,08
31.10.2023;08:00;36.498,20
31.10.2023;09:00;38.563,74
31.10.2023;10:00;39.069,57
31.10.2023;11:00;39.271,44
31.10.2023;12:00;37.558,82
31.10.2023;13:00;38.024,40
31.10.2023;14:00;39.100,75
31.10.2023;15:00;39.195,91
31.10.2023;16:00;39.671,72
31.10.2023;17:00;40.513,65
31.10.2023;18:00;40.662,71
31.10.2023;19:00;39.330,21
31.10.2023;20:00;38.128,56
31.10.2023;21:00;37.096,68
31.10.2023;22:00;35.752,06
31.10.2023;23:00;33.851,75
01.11.2023;00:00;32.221,05
01.11.2023;01:00;30.992,37
01.11.2023;02:00;30.011,31
01.11.2023;03:00;29.447,97
01.11.2023;04:00;29.109,56
01.11.2023;05:00;29.471,08
01.11.2023;06:00;30.478,23
01.11.2023;07:00;31.955,24
01.11.2023;08:00;36.273,75
01.11.2023;09:00;38.415,72
01.11.2023;10:00;38.849,92
01.11.2023;11:00;39.425,73
01.11.2023;12:00;37.730,17
01.11.2023;13:00;38.162,28
01.11.2023;14:00;38.799,65
01.11.2023;15:00;39.094,65
01.11.2023;16:00;39.578,96
01.11.2023;17:00;40.172,06
01.11.2023;18:00;40.321,68
01.11.2023;19:00;38.993,04
01.11.2023;20:00;38.076,07
01.11.2023;21:00;37.088,36
01.11.2023;22:00;36.032,14
01.11.2023;23:00;34.439,94
02.11.2023;00:00;32.242,22
02.11.2023;01:00;31.007,85
02.11.2023;02:00;30.257,88
02.11.2023;03:00;29.487,59
02.11.2023;04:00;29.265,02
02.11.2023;05:00;29.628,29
02.11.2023;06:00;30.602,43
02.11.2023;07:00;32.151,86
02.11.2023;08:00;36.399,24
02.11.2023;09:00;38.700,91
02.11.2023;10:00;39.162,82
02.11.2023;11:00;39.819,60
02.11.2023;12:00;38.046,01
02.11.2023;13:00;38.764,68
02.11.2023;14:00;40.054,48
02.11.2023;15:00;39.437,43
02.11.2023;16:00;40.018,18
02.11.2023;17:00;40.460,92
02.11.2023;18:00;40.239,75
02.11.2023;19:00;39.147,01
02.11.2023;20:00;38.104,81
02.11.2023;21:00;36.918,19
02.11.2023;22:00;35.293,00
02.11.2023;23:00;33.830,88
03.11.2023;00:00;31.955,70
03.11.2023;01:00;30.759,89
03.11.2023;02:00;29.863,08
03.11.2023;03:00;29.205,53
03.11.2023;04:00;28.919,17
03.11.2023;05:00;29.030,71
03.11.2023;06:00;30.171,73
03.11.2023;07:00;31.848,08
03.11.2023;08:00;36.182,30
03.11.2023;09:00;37.926,25
03.11.2023;10:00;38.592,77
03.11.2023;11:00;39.074,49
03.11.2023;12:00;36.632,73
03.11.2023;13:00;36.998,93
03.11.2023;14:00;38.884,29
03.11.2023;15:00;38.808,69
03.11.2023;16:00;39.215,31
03.11.2023;17:00;40.048,44
03.11.2023;18:00;40.400,82
03.11.2023;19:00;39.049,60
03.11.2023;20:00;38.203,63
03.11.2023;21:00;37.094,73
03.11.2023;22:00;35.832,68
03.11.2023;23:00;34.322,07
04.11.2023;00:00;32.494,51
04.11.2023;01:00;31.139,00
04.11.2023;02:00;30.077,33
04.11.2023;03:00;29.323,77
04.11.2023;04:00;29.094,95
04.11.2023;05:00;29.235,75
04.11.2023;06:00;29.707,07
04.11.2023;07:00;30.213,36
04.11.2023;08:00;33.431,72
04.11.2023;09:00;35.524,32
04.11.2023;10:00;36.683,44
04.11.2023;11:00;37.220,69
04.11.2023;12:00;36.256,15
04.11.2023;13:00;36.586,80
04.11.2023;14:00;36.653,03
04.11.2023;15:00;35.609,62
04.11.2023;16:00;36.199,85
04.11.2023;17:00;37.082,05
04.11.2023;18:00;38.306,29
04.11.2023;19:00;37.153,37
04.11.2023;20:00;36.151,21
04.11.2023;21:00;35.324,33
04.11.2023;22:00;34.457,40
04.11.2023;23:00;32.470,16
05.11.2023;00:00;30.523,57
05.11.2023;01:00;29.051,01
05.11.2023;02:00;27.918,36
05.11.2023;03:00;27.200,59
05.11.2023;04:00;26.862,32
05.11.2023;05:00;26.943,84
05.11.2023;06:00;26.948,80
05.11.2023;07:00;26.156,03
05.11.2023;08:00;26.716,80
05.11.2023;09:00;28.311,89
05.11.2023;10:00;29.786,22
05.11.2023;11:00;30.381,76
05.11.2023;12:00;30.377,40
05.11.2023;13:00;30.834,97
05.11.2023;14:00;30.836,43
05.11.2023;15:00;30.561,71
05.11.2023;16:00;30.539,96
05.11.2023;17:00;32.145,22
05.11.2023;18:00;34.132,77
05.11.2023;19:00;33.798,44
05.11.2023;20:00;33.906,63
05.11.2023;21:00;32.868,17
05.11.2023;22:00;31.858,77
05.11.2023;23:00;30.395,37
06.11.2023;00:00;29.222,01
06.11.2023;01:00;27.878,13
06.11.2023;02:00;27.075,96
06.11.2023;03:00;26.554,59
06.11.2023;04:00;26.389,42
06.11.2023;05:00;26.654,20
06.11.2023;06:00;28.138,94
06.11.2023;07:00;30.300,11
06.11.2023;08:00;35.219,72
06.11.2023;09:00;37.452,13
06.11.2023;10:00;37.699,32
06.11.2023;11:00;38.784,32
06.11.2023;12:00;36.986,98
06.11.2023;13:00;37.780,34
06.11.2023;14:00;38.630,96
06.11.2023;15:00;38.572,87
06.11.2023;16:00;38.590,56
06.11.2023;17:00;39.910,28
06.11.2023;18:00;40.504,21
06.11.2023;19:00;38.912,70
06.11.2023;20:00;37.942,64
06.11.2023;21:00;36.946,90
06.11.2023;22:00;35.721,14
06.11.2023;23:00;33.987,09
07.11.2023;00:00;32.120,51
07.11.2023;01:00;30.860,40
07.11.2023;02:00;29.926,55
07.11.2023;03:00;29.211,65
07.11.2023;04:00;29.011,39
07.11.2023;05:00;29.361,85
07.11.2023;06:00;29.876,71
07.11.2023;07:00;32.215,72
07.11.2023;08:00;36.429,97
07.11.2023;09:00;38.081,60
07.11.2023;10:00;38.424,98
07.11.2023;11:00;38.891,52
07.11.2023;12:00;36.824,98
07.11.2023;13:00;37.685,52
07.11.2023;14:00;38.630,03
07.11.2023;15:00;38.324,50
07.11.2023;16:00;38.954,71
07.11.2023;17:00;40.415,32
07.11.2023;18:00;40.542,23
07.11.2023;19:00;39.318,48
07.11.2023;20:00;38.213,10
07.11.2023;21:00;37.061,73
07.11.2023;22:00;36.134,77
07.11.2023;23:00;34.204,31
08.11.2023;00:00;32.379,22
08.11.2023;01:00;31.025,66
08.11.2023;02:00;30.044,60
08.11.2023;03:00;29.390,02
08.11.2023;04:00;27.800,82
08.11.2023;05:00;29.557,75
08.11.2023;06:00;30.798,72
08.11.2023;07:00;32.567,17
08.11.2023;08:00;36.661,98
08.11.2023;09:00;38.365,53
08.11.2023;10:00;38.551,59
08.11.2023;11:00;38.935,21
08.11.2023;12:00;37.109,77
08.11.2023;13:00;37.684,52
08.11.2023;14:00;38.496,27
08.11.2023;15:00;38.294,31
08.11.2023;16:00;39.133,06
08.11.2023;17:00;40.172,28
08.11.2023;18:00;40.609,97
08.11.2023;19:00;39.343,98
08.11.2023;20:00;38.088,88
08.11.2023;21:00;37.127,65
08.11.2023;22:00;35.992,21
08.11.2023;23:00;34.292,02
09.11.2023;00:00;32.451,43
09.11.2023;01:00;31.056,94
09.11.2023;02:00;30.109,04
09.11.2023;03:00;29.476,44
09.11.2023;04:00;29.200,65
09.11.2023;05:00;28.805,99
09.11.2023;06:00;30.481,54
09.11.2023;07:00;32.297,54
09.11.2023;08:00;36.441,88
09.11.2023;09:00;38.655,73
09.11.2023;10:00;39.051,80
09.11.2023;11:00;39.469,51
09.11.2023;12:00;37.570,91
09.11.2023;13:00;38.443,38
09.11.2023;14:00;39.318,66
09.11.2023;15:00;39.116,27
09.11.2023;16:00;39.804,34
09.11.2023;17:00;40.677,59
09.11.2023;18:00;40.668,12
09.11.2023;19:00;39.751,47
09.11.2023;20:00;38.411,00
09.11.2023;21:00;36.663,79
09.11.2023;22:00;36.207,76
09.11.2023;23:00;34.300,42
10.11.2023;00:00;32.549,53
10.11.2023;01:00;31.067,92
10.11.2023;02:00;29.928,01
10.11.2023;03:00;29.332,02
10.11.2023;04:00;29.146,98
10.11.2023;05:00;29.528,34
10.11.2023;06:00;30.490,08
10.11.2023;07:00;32.473,62
10.11.2023;08:00;36.667,35
10.11.2023;09:00;38.246,37
10.11.2023;10:00;38.907,07
10.11.2023;11:00;39.159,64
10.11.2023;12:00;36.462,98
10.11.2023;13:00;36.526,89
10.11.2023;14:00;38.339,03
10.11.2023;15:00;38.336,34
10.11.2023;16:00;39.216,86
10.11.2023;17:00;40.332,91
10.11.2023;18:00;40.286,71
10.11.2023;19:00;38.960,61
10.11.2023;20:00;37.983,68
10.11.2023;21:00;37.134,08
10.11.2023;22:00;36.029,70
10.11.2023;23:00;34.534,45
11.11.2023;00:00;32.729,01
11.11.2023;01:00;31.456,34
11.11.2023;02:00;30.379,64
11.11.2023;03:00;29.625,63
11.11.2023;04:00;29.279,38
11.11.2023;05:00;29.320,75
11.11.2023;06:00;29.961,94
11.11.2023;07:00;30.527,42
11.11.2023;08:00;33.542,51
11.11.2023;09:00;35.807,32
11.11.2023;10:00;36.923,48
11.11.2023;11:00;37.384,91
11.11.2023;12:00;35.994,42
11.11.2023;13:00;36.511,62
11.11.2023;14:00;36.671,75
11.11.2023;15:00;36.142,44
11.11.2023;16:00;36.262,77
11.11.2023;17:00;37.400,92
11.11.2023;18:00;38.226,91
