Tarih;Saat;Toplam;Doğal Gaz;Barajlı;Linyit;Akarsu;İthal Kömür;Rüzgar;Güneş;Fuel Oil;Jeotermal;Asfaltit Kömür;Taş Kömür;Biyokütle;Nafta;LNG;Uluslararası;Atık Isı
30.10.2024;00:00;31610,13;4324,43;3175;4567,89;1047,89;9855,54;6316,17;5,01;74,62;1292,94;194,3;429,93;936,14;0;0;-698,32;88,59
30.10.2024;01:00;30010,98;3890,23;2188,36;4490,24;960,52;9868,66;6239,81;5,01;74,52;1301,68;220,8;432,44;948,82;0;0;-696,77;86,66
30.10.2024;02:00;29376,34;3773,17;1914,19;4415,01;906,73;9859;6088,95;4,01;74,95;1311,73;223;430,44;964,24;0;0;-678,55;89,47
30.10.2024;03:00;28871,3;3938,78;1591,52;4458,87;796,16;9621;6063,45;5,01;74,94;1315,34;209,75;433,33;959,86;0;0;-687,36;90,65
30.10.2024;04:00;28834,13;3560,05;1834,55;4471,97;760,18;9654,96;6155,4;5,01;74,54;1316,7;223;434,99;959,2;0;0;-707,9;91,48
30.10.2024;05:00;29115,6;3355,2;2044,56;4469,39;886;9690,21;6277,48;6,1;75,23;1326,32;225,2;428,08;967,52;0;0;-723,43;87,74
30.10.2024;06:00;30343,27;3973,76;2230,07;4489,9;1069,3;9723,31;6398,41;20,54;75,42;1329,81;220,8;427,29;975,3;0;0;-676,92;86,28
30.10.2024;07:00;31991,76;4095,79;3268,46;4486,23;1232,6;9729,71;6611,71;196,97;72,02;1314,72;220,8;428,33;964,37;0;0;-717,68;87,73
30.10.2024;08:00;35148,04;4552,12;4948,8;4571,03;1329,73;9799,68;6458,32;1065,36;70,45;1304,92;220,8;433,13;967,47;0;0;-657,82;84,05
30.10.2024;09:00;34916,68;4440,6;4558,06;4529,47;1278,73;9778,25;6054,47;1805,75;69,85;1277,23;220,8;438,12;977,02;0;0;-600,04;88,37
30.10.2024;10:00;33677,96;4342,69;3978,33;4533,17;1045,79;9802,35;5730,7;1932,5;81,34;1246,25;223;449,72;960,58;0;0;-731,57;83,11
30.10.2024;11:00;32959,29;3754,22;4074,39;4495,4;999,86;9813,22;5432,22;1932,77;75,82;1218,77;220,8;460,9;960,49;0;0;-566,91;87,34
30.10.2024;12:00;30798,55;3439,26;2814,73;4424,83;942,33;9588,21;5320,7;1903,11;77,13;1203,56;220,8;461,13;960,82;0;0;-645,07;87,01
30.10.2024;13:00;31806,55;3813,37;3084,09;4516,7;939,92;9804,18;5305,11;1902,73;69,93;1185,07;218,59;443,6;946,12;0;0;-507,24;84,38
30.10.2024;14:00;34081,65;4358,44;4498,57;4562,81;1135,19;9852,34;5587,34;1852,96;68,02;1165,53;218,59;434,58;926,56;0;0;-666,02;86,74
30.10.2024;15:00;35819,9;6180,62;4407,66;4705,98;1084,05;9880,75;5752,22;1607,75;72,83;1158,14;223;454,78;927,19;0;0;-721,72;86,65
30.10.2024;16:00;39381,75;9133,49;5434,67;4787,43;1214,01;10009,58;5785,41;783,8;79,94;1156,07;223;456,3;929,36;0;0;-699,73;88,42
30.10.2024;17:00;42664,77;9937,81;8129,43;4862,67;1541,51;10075,24;5880,01;84,56;81,34;1173,59;216,38;452,35;938,54;0;0;-798,37;89,71
30.10.2024;18:00;43330,98;9742,41;8588,17;4862,95;1618,63;10087,16;6287,52;,08;82,65;1194,49;220,8;449,85;956,82;0;0;-854,93;94,38
30.10.2024;19:00;42242,91;9397,22;7545,59;4925,4;1569,1;10093,13;6581,38;,01;82,65;1214,77;223;455,42;927,91;0;0;-866,09;93,42
30.10.2024;20:00;41046,53;9733,06;5907,06;4915,55;1435,85;10115,59;6723,23;,01;82,85;1236,8;223;441,41;922,81;0;0;-789,62;98,93
30.10.2024;21:00;39904,65;9335,31;5465,93;4920,99;1280,19;10125,63;6522,02;,01;82,65;1250,35;220,8;455,3;917,24;0;0;-770,67;98,9
30.10.2024;22:00;38262,07;8083,15;5522,09;4952,19;1085,13;10127,69;6236,22;,01;83,06;1261,78;220,8;458,53;909,44;0;0;-772,35;94,33
30.10.2024;23:00;37097,9;6884,14;5046,02;4865,65;1074,46;10133,82;6060,23;,01;82,46;1271,11;225,2;457,3;903,03;0;0;0;94,47
31.10.2024;00:00;34074,38;5790,21;3995,7;4840,42;1116,18;10092,49;5913,53;,01;82,13;1278,9;218,59;453,77;937,44;0;0;-741,02;96,03
31.10.2024;01:00;32454,85;5145,77;3084,19;4832,16;1000;10094,48;5980,25;,01;83,83;1286,85;218,59;428,34;957,46;0;0;-752,76;95,68
31.10.2024;02:00;31393,71;4842,7;2580,86;4940,25;920,41;9785,2;5991,7;,01;83,03;1291,44;223;421,7;955,97;0;0;-736,09;93,53
31.10.2024;03:00;30716,77;4628,19;2437,69;4982,01;877,88;9551,08;5925,63;,01;82,23;1290,76;220,8;402,45;958,3;0;0;-736,11;95,85
31.10.2024;04:00;30274,55;4278,76;2404,44;5000,41;735,98;9592,91;5899,72;,01;75,73;1311,13;220,8;415,23;953,81;0;0;-716,49;102,11
31.10.2024;05:00;31081,71;4878,91;2516,78;5001,75;729,51;9782,63;5779,25;,88;82,56;1316,79;220,8;418,69;954,27;0;0;-702,9;101,79
31.10.2024;06:00;32307,88;5735,01;2607,9;5034,84;878,56;9901,86;5777,45;17,05;82,06;1322,11;223;417,51;963,18;0;0;-749,65;97
31.10.2024;07:00;33803,37;6232,18;3152,07;5049,39;1063,77;10082,03;5694,39;175,76;77,97;1322,94;223;411,56;956,58;0;0;-728,61;90,34
31.10.2024;08:00;36545,92;6224,05;4824,36;5097,22;1324,87;10147,1;5663,5;962,73;71,05;1316,83;220,8;401,49;944,95;0;0;-735,1;82,07
31.10.2024;09:00;35442,75;5358,43;4219,55;5139,14;1320,02;10152,61;5324,18;1680,86;71,06;1300,18;223;413,52;939,34;0;0;-777,33;78,19
31.10.2024;10:00;34156,99;4642,64;3902,04;5100,85;1177,14;10150,34;5074,84;1832,97;71,34;1260,53;220,8;403,6;934,95;0;0;-692,01;76,96
31.10.2024;11:00;33307,53;4047,74;4002,99;4939,47;1133,89;9973,29;5015,41;1829,95;86,09;1221,13;220,8;366,62;937,27;0;0;-545,31;78,19
31.10.2024;12:00;31221,02;3266,26;3309,87;4793,01;859,92;9717,28;5161,43;1789,6;75,7;1178,47;220,8;357,78;938,63;0;0;-526,33;78,6
31.10.2024;13:00;32353,59;3816,45;3540,19;4903,79;820,38;9716,23;5510,65;1779,45;74,59;1154,21;223;350,35;942,5;0;0;-556,3;78,1
31.10.2024;14:00;34385,86;4096,7;4731,49;4962,54;966,9;9955,78;5682,26;1699,13;69,08;1139,35;218,59;379,83;961,42;0;0;-546,56;69,35
31.10.2024;15:00;36132,49;5826,75;4848,15;5049,03;1009,76;9926,62;5780,06;1441,7;74,93;1133,39;220,8;403,1;960,99;0;0;-621,82;79,03
31.10.2024;16:00;39671,46;8983,95;5773,73;5138,46;1043,16;10053,41;5904,24;691,08;80,42;1156,56;220,8;388,97;964,76;0;0;-787,39;59,31
31.10.2024;17:00;42716,25;10027,68;8328,17;5047,3;1376,39;10092,77;5834,48;83,08;82,51;1173,59;220,4;272,01;943,25;0;0;-826,54;61,16
31.10.2024;18:00;43562,29;9677,78;9421,07;5032,37;1548,98;10100,33;5790,5;,7;82,5;1195,35;220,8;310,24;959,64;0;0;-842,08;64,11
31.10.2024;19:00;42623,07;9346,21;8644,46;5083;1495,08;10098,94;5833,37;,01;82,54;1214,1;220,8;399,07;969,26;0;0;-830,4;66,63
