Tarih;Saat;PTF (TL/MWh);PTF (USD/MWh);PTF (EUR/MWh)
30.10.2023;00:00;1.877,99;66,77;63,25
30.10.2023;01:00;2.319,00;82,45;78,11
30.10.2023;02:00;1.799,97;64,00;60,63
30.10.2023;03:00;2.100,00;74,66;70,73
30.10.2023;04:00;1.799,97;64,00;60,63
30.10.2023;05:00;1.799,98;64,00;60,63
30.10.2023;06:00;2.300,00;81,78;77,47
30.10.2023;07:00;2.395,67;85,18;80,69
30.10.2023;08:00;2.700,00;96,00;90,94
30.10.2023;09:00;2.700,00;96,00;90,94
30.10.2023;10:00;2.700,00;96,00;90,94
30.10.2023;11:00;2.700,00;96,00;90,94
30.10.2023;12:00;2.400,00;85,33;80,84
30.10.2023;13:00;2.690,00;95,64;90,60
30.10.2023;14:00;2.700,00;96,00;90,94
30.10.2023;15:00;2.700,00;96,00;90,94
30.10.2023;16:00;2.700,00;96,00;90,94
30.10.2023;17:00;2.700,00;96,00;90,94
30.10.2023;18:00;2.700,00;96,00;90,94
30.10.2023;19:00;2.700,00;96,00;90,94
30.10.2023;20:00;2.700,00;96,00;90,94
30.10.2023;21:00;2.700,00;96,00;90,94
30.10.2023;22:00;2.676,99;95,18;90,17
30.10.2023;23:00;2.499,99;88,89;84,20
31.10.2023;00:00;2.498,94;88,85;84,17
31.10.2023;01:00;2.398,94;85,29;80,80
31.10.2023;02:00;2.298,95;81,74;77,43
31.10.2023;03:00;2.351,00;83,59;79,19
31.10.2023;04:00;2.400,01;85,33;80,84
31.10.2023;05:00;2.508,77;89,20;84,50
31.10.2023;06:00;2.670,00;94,93;89,93
31.10.2023;07:00;2.670,00;94,93;89,93
31.10.2023;08:00;2.700,00;96,00;90,94
31.10.2023;09:00;2.700,00;96,00;90,94
31.10.2023;10:00;2.700,00;96,00;90,94
31.10.2023;11:00;2.690,00;95,64;90,60
31.10.2023;12:00;2.198,99;78,18;74,07
31.10.2023;13:00;2.649,00;94,18;89,22
31.10.2023;14:00;2.700,00;96,00;90,94
31.10.2023;15:00;2.700,00;96,00;90,94
31.10.2023;16:00;2.700,00;96,00;90,94
31.10.2023;17:00;2.700,00;96,00;90,94
31.10.2023;18:00;2.700,00;96,00;90,94
31.10.2023;19:00;2.700,00;96,00;90,94
31.10.2023;20:00;2.700,00;96,00;90,94
31.10.2023;21:00;2.700,00;96,00;90,94
31.10.2023;22:00;2.498,94;88,85;84,17
31.10.2023;23:00;2.298,95;81,74;77,43
01.11.2023;00:00;2.498,19;88,57;83,79
01.11.2023;01:00;2.294,18;81,34;76,95
01.11.2023;02:00;2.155,99;76,44;72,31
01.11.2023;03:00;2.000,00;70,91;67,08
01.11.2023;04:00;1.754,64;62,21;58,85
01.11.2023;05:00;1.685,00;59,74;56,52
01.11.2023;06:00;1.999,46;70,89;67,06
01.11.2023;07:00;1.999,12;70,88;67,05
01.11.2023;08:00;2.700,00;95,73;90,56
01.11.2023;09:00;2.700,00;95,73;90,56
01.11.2023;10:00;2.666,65;94,55;89,44
01.11.2023;11:00;2.394,19;84,89;80,30
01.11.2023;12:00;2.094,19;74,25;70,24
01.11.2023;13:00;2.345,81;83,17;78,68
01.11.2023;14:00;2.700,00;95,73;90,56
01.11.2023;15:00;2.700,00;95,73;90,56
01.11.2023;16:00;2.700,00;95,73;90,56
01.11.2023;17:00;2.700,00;95,73;90,56
01.11.2023;18:00;2.700,00;95,73;90,56
01.11.2023;19:00;2.700,00;95,73;90,56
01.11.2023;20:00;2.700,00;95,73;90,56
01.11.2023;21:00;2.700,00;95,73;90,56
01.11.2023;22:00;2.700,00;95,73;90,56
01.11.2023;23:00;2.498,19;88,57;83,79
02.11.2023;00:00;2.625,00;92,96;87,34
02.11.2023;01:00;2.525,00;89,42;84,01
02.11.2023;02:00;2.425,00;85,88;80,68
02.11.2023;03:00;2.284,93;80,92;76,02
02.11.2023;04:00;2.253,64;79,81;74,98
02.11.2023;05:00;2.284,93;80,92;76,02
02.11.2023;06:00;2.427,44;85,97;80,77
02.11.2023;07:00;2.613,64;92,56;86,96
02.11.2023;08:00;2.700,00;95,62;89,83
02.11.2023;09:00;2.700,00;95,62;89,83
02.11.2023;10:00;2.700,00;95,62;89,83
02.11.2023;11:00;2.700,00;95,62;89,83
02.11.2023;12:00;2.299,00;81,42;76,49
02.11.2023;13:00;2.700,00;95,62;89,83
02.11.2023;14:00;2.700,00;95,62;89,83
02.11.2023;15:00;2.700,00;95,62;89,83
02.11.2023;16:00;2.700,00;95,62;89,83
02.11.2023;17:00;2.700,00;95,62;89,83
02.11.2023;18:00;2.700,00;95,62;89,83
02.11.2023;19:00;2.700,00;95,62;89,83
02.11.2023;20:00;2.700,00;95,62;89,83
02.11.2023;21:00;2.494,94;88,36;83,01
02.11.2023;22:00;2.494,93;88,36;83,01
02.11.2023;23:00;1.999,99;70,83;66,54
03.11.2023;00:00;2.414,42;85,37;80,87
03.11.2023;01:00;2.325,00;82,21;77,88
03.11.2023;02:00;2.199,99;77,79;73,69
03.11.2023;03:00;2.000,00;70,72;66,99
03.11.2023;04:00;1.878,00;66,41;62,91
03.11.2023;05:00;2.149,01;75,99;71,98
03.11.2023;06:00;2.298,19;81,26;76,98
03.11.2023;07:00;2.641,42;93,40;88,48
03.11.2023;08:00;2.700,00;95,47;90,44
03.11.2023;09:00;2.700,00;95,47;90,44
03.11.2023;10:00;2.494,19;88,19;83,55
03.11.2023;11:00;2.298,18;81,26;76,98
03.11.2023;12:00;1.602,97;56,68;53,69
03.11.2023;13:00;1.602,97;56,68;53,69
03.11.2023;14:00;2.050,00;72,49;68,67
03.11.2023;15:00;2.346,98;82,99;78,62
03.11.2023;16:00;2.649,00;93,67;88,73
03.11.2023;17:00;2.700,00;95,47;90,44
03.11.2023;18:00;2.700,00;95,47;90,44
03.11.2023;19:00;2.140,01;75,67;71,68
03.11.2023;20:00;1.799,98;63,65;60,29
03.11.2023;21:00;1.602,98;56,68;53,69
03.11.2023;22:00;1.602,98;56,68;53,69
03.11.2023;23:00;1.250,00;44,20;41,87
04.11.2023;00:00;1.300,00;45,93;43,26
04.11.2023;01:00;1.250,01;44,16;41,60
04.11.2023;02:00;1.250,00;44,16;41,60
04.11.2023;03:00;1.249,99;44,16;41,60
04.11.2023;04:00;1.249,99;44,16;41,60
04.11.2023;05:00;1.249,99;44,16;41,60
04.11.2023;06:00;1.244,45;43,96;41,41
04.11.2023;07:00;1.250,00;44,16;41,60
04.11.2023;08:00;1.846,00;65,22;61,43
04.11.2023;09:00;2.228,89;78,74;74,17
04.11.2023;10:00;1.449,99;51,22;48,25
04.11.2023;11:00;1.449,98;51,22;48,25
04.11.2023;12:00;624,99;22,08;20,80
04.11.2023;13:00;999,99;35,33;33,28
04.11.2023;14:00;1.249,99;44,16;41,60
04.11.2023;15:00;1.250,00;44,16;41,60
04.11.2023;16:00;1.846,00;65,22;61,43
04.11.2023;17:00;2.545,00;89,91;84,69
04.11.2023;18:00;2.640,00;93,27;87,85
04.11.2023;19:00;1.878,00;66,35;62,50
04.11.2023;20:00;1.449,99;51,22;48,25
04.11.2023;21:00;1.449,99;51,22;48,25
04.11.2023;22:00;1.244,45;43,96;41,41
04.11.2023;23:00;624,99;22,08;20,80
05.11.2023;00:00;1.249,99;44,09;41,45
05.11.2023;01:00;1.325,00;46,74;43,94
05.11.2023;02:00;1.446,07;51,01;47,95
05.11.2023;03:00;1.446,06;51,01;47,95
05.11.2023;04:00;1.446,06;51,01;47,95
05.11.2023;05:00;1.446,06;51,01;47,95
05.11.2023;06:00;1.446,07;51,01;47,95
05.11.2023;07:00;1.238,28;43,68;41,06
05.11.2023;08:00;997,08;35,17;33,06
05.11.2023;09:00;1.238,28;43,68;41,06
05.11.2023;10:00;347,08;12,24;11,51
05.11.2023;11:00;84,00;2,96;2,79
05.11.2023;12:00;12,34;0,44;0,41
05.11.2023;13:00;16,92;0,60;0,56
05.11.2023;14:00;93,24;3,29;3,09
05.11.2023;15:00;499,00;17,60;16,55
05.11.2023;16:00;1.448,48;51,10;48,03
05.11.2023;17:00;1.500,00;52,91;49,74
05.11.2023;18:00;1.594,98;56,26;52,89
05.11.2023;19:00;1.500,01;52,91;49,74
05.11.2023;20:00;1.500,00;52,91;49,74
05.11.2023;21:00;1.446,07;51,01;47,95
05.11.2023;22:00;1.147,07;40,46;38,04
05.11.2023;23:00;347,08;12,24;11,51
06.11.2023;00:00;435,13;15,35;14,43
06.11.2023;01:00;749,01;26,42;24,84
06.11.2023;02:00;980,00;34,57;32,50
06.11.2023;03:00;997,09;35,17;33,07
06.11.2023;04:00;999,99;35,28;33,16
06.11.2023;05:00;1.249,99;44,09;41,45
06.11.2023;06:00;1.250,00;44,09;41,45
06.11.2023;07:00;1.650,00;58,21;54,72
06.11.2023;08:00;2.700,00;95,25;89,54
06.11.2023;09:00;2.700,00;95,25;89,54
06.11.2023;10:00;2.448,89;86,39;81,21
06.11.2023;11:00;2.099,01;74,04;69,61
06.11.2023;12:00;1.432,99;50,55;47,52
06.11.2023;13:00;2.199,00;77,57;72,92
06.11.2023;14:00;2.554,99;90,13;84,73
06.11.2023;15:00;2.700,00;95,25;89,54
06.11.2023;16:00;2.700,00;95,25;89,54
06.11.2023;17:00;2.700,00;95,25;89,54
06.11.2023;18:00;2.700,00;95,25;89,54
06.11.2023;19:00;2.700,00;95,25;89,54
06.11.2023;20:00;2.700,00;95,25;89,54
06.11.2023;21:00;2.700,00;95,25;89,54
06.11.2023;22:00;2.468,34;87,07;81,85
06.11.2023;23:00;2.199,01;77,57;72,92
07.11.2023;00:00;2.499,99;88,19;82,90
07.11.2023;01:00;2.295,07;80,96;76,11
07.11.2023;02:00;2.155,99;76,05;71,50
07.11.2023;03:00;2.195,07;77,43;72,79
07.11.2023;04:00;2.144,42;75,65;71,11
07.11.2023;05:00;2.195,08;77,43;72,79
07.11.2023;06:00;2.649,01;93,45;87,85
07.11.2023;07:00;2.700,00;95,25;89,54
07.11.2023;08:00;2.700,00;95,25;89,54
07.11.2023;09:00;2.700,00;95,25;89,54
07.11.2023;10:00;2.666,65;94,07;88,43
07.11.2023;11:00;2.448,89;86,39;81,21
07.11.2023;12:00;1.446,07;51,01;47,95
07.11.2023;13:00;2.086,49;73,60;69,19
07.11.2023;14:00;2.451,01;86,46;81,28
07.11.2023;15:00;2.700,00;95,25;89,54
07.11.2023;16:00;2.700,00;95,25;89,54
07.11.2023;17:00;2.700,00;95,25;89,54
07.11.2023;18:00;2.700,00;95,25;89,54
07.11.2023;19:00;2.700,00;95,25;89,54
07.11.2023;20:00;2.700,00;95,25;89,54
07.11.2023;21:00;2.700,00;95,25;89,54
07.11.2023;22:00;2.700,00;95,25;89,54
07.11.2023;23:00;2.299,60;81,12;76,26
08.11.2023;00:00;2.448,88;86,26;80,28
08.11.2023;01:00;2.293,07;80,77;75,17
08.11.2023;02:00;2.147,07;75,63;70,39
08.11.2023;03:00;2.000,00;70,45;65,57
08.11.2023;04:00;2.129,99;75,03;69,83
08.11.2023;05:00;2.147,07;75,63;70,39
08.11.2023;06:00;2.399,02;84,51;78,65
08.11.2023;07:00;2.700,00;95,11;88,52
08.11.2023;08:00;2.700,00;95,11;88,52
08.11.2023;09:00;2.700,00;95,11;88,52
08.11.2023;10:00;2.155,99;75,95;70,68
08.11.2023;11:00;2.199,00;77,46;72,09
08.11.2023;12:00;1.446,07;50,94;47,41
08.11.2023;13:00;2.048,76;72,17;67,17
08.11.2023;14:00;2.448,88;86,26;80,28
08.11.2023;15:00;2.650,01;93,35;86,88
08.11.2023;16:00;2.700,00;95,11;88,52
08.11.2023;17:00;2.700,00;95,11;88,52
08.11.2023;18:00;2.700,00;95,11;88,52
08.11.2023;19:00;2.700,00;95,11;88,52
08.11.2023;20:00;2.700,00;95,11;88,52
08.11.2023;21:00;2.387,07;84,09;78,26
08.11.2023;22:00;2.285,08;80,49;74,91
08.11.2023;23:00;2.130,00;75,03;69,83
09.11.2023;00:00;2.325,00;81,76;76,49
09.11.2023;01:00;2.274,17;79,98;74,81
09.11.2023;02:00;2.142,16;75,33;70,47
09.11.2023;03:00;2.129,87;74,90;70,07
09.11.2023;04:00;2.142,16;75,33;70,47
09.11.2023;05:00;2.142,16;75,33;70,47
09.11.2023;06:00;2.274,17;79,98;74,81
09.11.2023;07:00;2.274,17;79,98;74,81
09.11.2023;08:00;2.700,00;94,95;88,82
